,goodForGroups,city,state,latitude,longitude,stars,reviewCount,checkins,open,alcohol,noiseLevel,attire,priceRange,delivery,waiterService,smoking,outdoorSeating,caters,goodForKids
15096,1,Chandler,AZ,33.33591454,-111.8591599,3.0,21,78,False,full_bar,average,casual,2.0,False,True,outdoor,True,False,
2286,0,Montreal,QC,45.5381793,-73.6138844,4.5,10,7,True,none,quiet,casual,1.0,False,True,,False,False,
12246,1,Goodyear,AZ,33.4854161,-112.3654283,4.0,6,47,True,none,,casual,1.0,False,,,False,,
11163,0,Westmount,QC,45.4899624,-73.5860078,3.5,7,39,True,none,,casual,1.0,False,False,,False,False,
9744,1,Glendale,AZ,33.5227015,-112.152081,4.0,7,31,True,none,,casual,1.0,False,False,,False,,True
9804,0,Kitchener,ON,43.4060619,-80.3920686,3.5,3,31,True,none,,,,False,,,,,
17651,1,Queen Creek,AZ,33.214145,-111.686507,4.0,64,127,True,beer_and_wine,average,casual,2.0,False,True,,True,False,
1968,1,Chandler,AZ,33.3055793,-111.8999977,3.0,12,6,False,full_bar,,casual,1.0,False,True,,True,,
13872,1,Mount Lebanon,PA,40.357621,-80.0503804,3.5,9,62,True,none,loud,casual,1.0,False,True,,True,True,
17359,0,Tempe,AZ,33.392384,-111.926508,3.5,38,120,True,none,very_loud,casual,1.0,True,True,,False,True,
12095,1,Glendale,AZ,33.5384614,-112.1845829,4.5,19,46,False,full_bar,average,casual,2.0,False,False,,True,,
5910,1,Charlotte,NC,35.133821,-80.940738,4.0,8,15,True,none,average,casual,2.0,False,,,False,True,
3822,1,Scottsdale,AZ,33.58363363,-111.9246667,3.5,6,10,True,none,quiet,casual,1.0,True,True,,True,True,
5056,1,Charlotte,NC,35.19287,-80.795726,3.0,4,13,True,none,loud,casual,1.0,False,False,,False,False,
17581,1,Las Vegas,NV,36.0113116,-115.1747074,3.5,85,125,True,full_bar,average,casual,2.0,False,False,,False,False,
18086,1,Las Vegas,NV,36.0806934,-115.1176587,4.0,35,140,True,full_bar,average,casual,1.0,False,True,yes,False,False,
9410,0,Las Vegas,NV,36.2777536,-115.2883266,2.5,13,29,True,none,,casual,1.0,True,,,False,True,
6638,0,Pittsburgh,PA,40.4318095,-79.9232325,3.5,21,17,True,none,,,1.0,,,,,,
14698,1,Pittsburgh,PA,40.48706927,-79.8888003,3.5,26,72,True,full_bar,average,casual,2.0,False,False,,True,True,
13912,1,Carnegie,PA,40.4082572,-80.0854582,3.5,46,63,True,full_bar,quiet,casual,2.0,False,False,,True,True,
13200,0,Scottsdale,AZ,33.601973,-111.88792,3.0,4,55,False,none,,,1.0,,,,,,
18566,1,Concord,NC,35.3657044,-80.7154023,3.5,19,154,True,full_bar,average,casual,2.0,False,True,,False,True,
6855,1,Phoenix,AZ,33.48073,-112.003749,2.5,10,18,True,none,,casual,2.0,True,False,,False,False,
5037,1,Madison,WI,43.0748779,-89.4476184,4.0,11,13,True,beer_and_wine,quiet,casual,1.0,True,True,,True,True,
7313,1,Chandler,AZ,33.27603569,-111.8410983,3.5,6,20,True,none,very_loud,casual,2.0,False,True,,True,False,
1329,0,Indian Trail,NC,35.0689849,-80.6786911,3.0,8,5,True,none,quiet,casual,1.0,False,,,False,False,
19431,1,Las Vegas,NV,36.219133,-115.262282,3.5,94,186,True,beer_and_wine,average,casual,2.0,True,False,,True,True,
9910,1,Las Vegas,NV,36.2472804,-115.2089199,4.5,29,32,True,beer_and_wine,average,casual,2.0,False,True,,False,True,
9312,1,Avondale,AZ,33.4413816,-112.349511,3.0,6,29,True,none,loud,casual,2.0,False,False,,True,False,
13977,1,Carefree,AZ,33.824936,-111.923786,4.5,53,64,True,none,average,dressy,2.0,False,False,,True,,False
19531,1,Mesa,AZ,33.3930627,-111.6842143,3.5,44,189,True,none,average,casual,1.0,True,True,,True,True,
7695,0,North Las Vegas,NV,36.262351,-115.178165,4.5,7,21,False,none,,,2.0,,,,,,
10218,1,Bellevue,PA,40.4966408,-80.057381,3.5,17,34,True,none,quiet,casual,1.0,False,True,,False,True,True
4681,1,Verdun,QC,45.45248835,-73.56810058,4.0,12,12,True,beer_and_wine,average,casual,2.0,True,True,,False,False,
9782,1,Montral,QC,45.5041262,-73.5545401,3.5,14,31,True,full_bar,,dressy,2.0,False,False,,True,,
16971,1,Phoenix,AZ,33.6025873,-111.9785074,4.0,91,111,False,full_bar,average,casual,2.0,False,False,,True,True,
13321,1,Scottsdale,AZ,33.57837,-111.88661,3.5,9,57,True,none,average,casual,1.0,False,True,,False,False,
2888,1,Phoenix,AZ,33.6405889,-112.134846,3.0,9,8,True,none,loud,casual,2.0,True,False,,False,,
9748,1,Montral,QC,45.5004519,-73.5681129,4.0,19,31,True,full_bar,quiet,dressy,3.0,False,True,,False,True,
6396,1,Phoenix,AZ,33.4962047,-112.0212354,1.5,13,17,False,full_bar,average,casual,2.0,False,True,outdoor,True,,
15327,1,Tempe,AZ,33.42383949,-111.9348014,4.5,35,81,True,full_bar,average,casual,2.0,False,True,,True,True,
17024,1,Chandler,AZ,33.31984239,-111.9756603,3.5,13,112,True,beer_and_wine,average,casual,2.0,False,,,False,,
4565,0,Charlotte,NC,35.070495,-80.8445179,3.0,5,11,False,none,,,,,,,,,
19985,1,Scottsdale,AZ,33.4940319,-111.921845,4.0,40,210,False,full_bar,quiet,casual,2.0,False,True,outdoor,True,False,
2426,1,Edinburgh,EDH,55.9476217,-3.1920548,3.5,16,7,True,full_bar,average,,2.0,,,outdoor,False,,
10940,1,Surprise,AZ,33.6385585,-112.3628541,4.0,26,38,False,none,average,casual,1.0,False,False,,False,True,
5301,0,Gila Bend,AZ,32.9487058,-112.7100655,3.0,5,13,False,none,,,1.0,,,,,,
6176,1,Pittsburgh,PA,40.4783789,-79.9555457,3.0,8,16,False,none,quiet,casual,1.0,True,True,,False,,
3367,0,Mesa,AZ,33.452132,-111.771202,3.0,5,9,True,none,average,casual,1.0,False,True,,False,,
10351,0,Montral,QC,45.48331873,-73.57450068,4.5,3,34,True,none,,,1.0,,,,True,,
14038,0,Phoenix,AZ,33.4804846,-111.9971926,4.0,52,64,True,none,,,1.0,,,,,True,
2687,0,Las Vegas,NV,36.0553457,-115.1721327,3.0,5,7,False,none,,dressy,,False,,,,False,
7696,0,Montral,QC,45.5150375,-73.5751,4.0,3,21,True,none,,,2.0,,,,,,
19438,1,Phoenix,AZ,33.67622337,-111.9749509,2.5,87,186,False,full_bar,average,,2.0,,,outdoor,True,,
9727,1,Buckeye,AZ,33.4959165,-112.5128746,2.0,26,31,False,full_bar,average,casual,2.0,False,True,,True,False,
9143,1,Pittsburgh,PA,40.480713,-80.041572,4.5,8,28,True,none,quiet,casual,1.0,False,False,,True,False,
4374,1,Kitchener,ON,43.4538467,-80.5183238,4.0,5,11,True,none,,casual,1.0,False,False,,False,,
11014,0,Outremont,QC,45.518898,-73.610069,4.0,22,38,True,none,,,2.0,,,,,,
3107,0,Lachine,QC,45.4344255,-73.6915125,3.5,6,8,True,beer_and_wine,,casual,1.0,True,True,,False,,
19508,1,Champaign,IL,40.116597,-88.242292,4.0,65,189,True,full_bar,loud,casual,1.0,False,True,outdoor,True,False,False
19390,1,Tempe,AZ,33.3790514,-111.9288232,3.5,45,185,True,none,average,casual,1.0,False,True,,True,True,True
11650,1,Madison,WI,43.12967,-89.3609713,3.0,24,43,True,full_bar,average,casual,2.0,False,False,,False,True,
17036,1,Pittsburgh,PA,40.3820875,-80.0443309,3.5,30,113,True,full_bar,loud,casual,2.0,False,False,outdoor,True,,
7764,0,Las Vegas,NV,36.0194669,-115.117383,2.5,21,22,True,none,quiet,casual,2.0,True,False,,False,,
5067,0,Pittsburgh,PA,40.4296522,-79.9232478,3.5,30,13,False,none,quiet,casual,1.0,True,True,,True,,
2865,1,Verdun,QC,45.4581598,-73.567417,4.0,9,8,True,none,average,casual,2.0,True,True,,False,False,
1592,0,Phoenix,AZ,33.45305068,-112.0695378,3.5,5,5,True,none,,,1.0,,,,,,
18523,0,Scottsdale,AZ,33.583796,-111.834316,4.0,22,152,True,none,,,2.0,,,,,,
12387,1,Surprise,AZ,33.64117,-112.35433,2.5,5,48,True,none,average,casual,1.0,False,,,False,False,
6641,0,Phoenix,AZ,33.479819,-112.064705,4.0,4,17,True,none,,,1.0,,,,,,
17047,1,Peoria,AZ,33.7114452,-112.2731482,4.0,28,113,True,full_bar,quiet,casual,2.0,False,True,,True,True,
1910,0,Waterloo,ON,43.46066366,-80.52261386,4.0,5,6,True,full_bar,average,casual,2.0,,True,,True,,
9883,1,Phoenix,AZ,33.4596905,-112.0462108,3.5,15,32,False,full_bar,average,casual,2.0,False,False,,True,,
3203,0,Chandler,AZ,33.351069,-111.857927,3.5,3,8,True,none,,,1.0,,,,,,
3395,1,Phoenix,AZ,33.6417888,-111.9947311,3.5,10,9,False,none,quiet,casual,2.0,False,True,,False,,
12188,1,Henderson,NV,36.063167,-115.037421,3.0,27,47,False,full_bar,average,casual,2.0,False,False,,False,,True
10144,1,Peoria,AZ,33.582001,-112.221246,3.0,5,33,True,full_bar,loud,,1.0,,,outdoor,False,,
2946,1,Pittsburgh,PA,40.4559863,-79.9152207,3.5,11,8,True,none,average,casual,2.0,False,True,,False,,
12763,0,Scottsdale,AZ,33.672993,-111.9254002,3.5,6,51,True,none,,,,,True,,,,
5860,1,Pittsburgh,PA,40.4218927,-79.9928835,4.0,7,15,True,none,average,casual,1.0,True,,,False,,
13954,1,Henderson,NV,36.047558,-114.973419,4.5,9,63,True,none,quiet,casual,1.0,False,,,False,,
5270,0,Las Vegas,NV,36.159215,-115.146147,2.5,8,13,True,none,,,4.0,,,,False,,
7312,0,Pittsburgh,PA,40.4531807,-80.0066246,2.5,5,20,True,none,average,,2.0,False,,,True,True,
17597,1,Phoenix,AZ,33.3773179,-112.0298729,4.0,17,125,True,none,average,casual,2.0,False,True,,True,True,
6446,0,North Las Vegas,NV,36.19852107,-115.1926526,3.5,3,17,True,none,loud,casual,2.0,False,False,,False,False,
754,1,Edinburgh,EDH,55.95909292,-3.214401253,4.0,14,4,True,none,,casual,1.0,True,False,,False,,
13132,1,Montral,QC,45.5309262,-73.5815049,4.5,47,55,True,none,average,casual,3.0,False,False,,False,False,
19191,1,Charlotte,NC,35.06110567,-80.81781508,4.0,75,176,True,beer_and_wine,average,casual,2.0,False,True,,True,True,
2336,1,Madison,WI,43.0748335,-89.3922683,3.5,11,7,False,none,quiet,casual,1.0,False,True,,False,False,
13141,0,Tempe,AZ,33.4074267,-111.9099123,2.5,59,55,True,none,quiet,casual,1.0,True,True,,False,False,
12044,1,Phoenix,AZ,33.378801,-112.070599,4.0,30,46,True,beer_and_wine,quiet,casual,1.0,False,True,,False,,True
4213,1,Montral,QC,45.4729259,-73.6115985,4.0,8,11,True,beer_and_wine,average,casual,2.0,False,True,,True,False,
10440,1,Fort Mill,SC,35.0284881,-80.9673065,3.5,8,35,False,full_bar,quiet,casual,2.0,False,True,,True,False,
2878,0,Charlotte,NC,35.2687693,-80.8378516,3.5,7,8,True,beer_and_wine,average,casual,1.0,True,False,,False,True,
4868,1,Anthem,AZ,33.868744,-112.1387323,2.5,3,12,False,none,loud,casual,1.0,,True,,False,,
12769,1,Las Vegas,NV,36.2424474,-115.2349356,2.5,7,52,True,none,average,casual,1.0,False,False,,False,False,
